ОАО ИКМА ;САО;район Западное Дегунино;Пищевая промышленность
ЗАО ВЕГУС ;ВАО;район Соколиная Гора;Пищевая промышленность
АО ЧМПЗ ;ВАО;район Метрогородок;Пищевая промышленность
ОАО Мелькомбинат в Сокольниках ;ВАО;район Сокольники;Пищевая промышленность
ООО ПО АРС ;ВАО;район Перово;Пищевая промышленность
ОАО ЧЕРКИЗОВО ;ВАО;район Преображенское;Пищевая промышленность
ЗАО КМКИ Добрынинский ;ВАО;район Преображенское;Пищевая промышленность
ОАО ЭКСТРА М ;ВАО;район Сокольники;Пищевая промышленность
ПАО РУССКИЙ ПРОДУКТ ;ВАО;район Метрогородок;Пищевая промышленность
ОАО МШФ ;ВАО;район Соколиная Гора;Легкая промышленность
ОАО СТАРТ ;ВАО;район Соколиная Гора;Легкая промышленность
ЗАО КРАСНАЯ ЗАРЯ ;ВАО;район Соколиная Гора;Легкая промышленность
ЗАО РАЛЬФ РИНГЕР ;ВАО;район Метрогородок;Легкая промышленность
ОАО ГАММА ;ВАО;район Преображенское;Химическая промышленность
ЗАО ЭЗОИС ;ВАО;район Гольяново;Электрическая распределительная и регулирующая аппаратура
АО МОСПРОМЖЕЛЕЗОБЕТОН ;ВАО;район Метрогородок;Неметаллические минеральные продукты
ООО Восход-Метиз ;ВАО;район Гольяново;Неметаллические минеральные продукты
ООО Московское ПО Металлпластизделие ;ВАО;район Перово;Металлообрабатывающая промышленность
ООО ЗНАК ;ВАО;район Преображенское;Металлообрабатывающая промышленность
АО САНТЕХПРОМ ;ВАО;район Гольяново;Готовые металлические изделия
ОАО МОС ОТИС ;ВАО;район Соколиная Гора;Машины и оборудование
ООО Фабрика Вентиляции ГалВент ;ВАО;район Перово;Машины и оборудование
АО АРГУМЕНТЫ И ФАКТЫ ;ВАО;район Преображенское;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
